	mzmed
403	341.211405386035
404	341.221481176111
405	341.23447976307597
406	341.248829707676
407	341.26874284263
408	341.268167969211
409	341.30483974422197
410	341.33184838012903
411	342.24915280001096
412	342.308261896535
413	342.33475728909
414	343.218806421107
415	343.246069123342
416	345.16689761104203
417	345.203244126457
418	346.206692662657
419	347.219372890033
420	348.22289572279294
421	349.23519426871695
422	350.238708982826
423	350.926864804628
424	351.219803757814
425	351.23427334527605
426	351.25053613193495
427	351.250194417398
428	351.289787223379
429	351.32548298014297
430	352.254052297893
431	353.13027674887496
432	353.1998482592
433	353.185335702753
434	353.21062413726304
435	353.256777195268
436	353.249862138078
437	353.24941699710604
438	353.304988431006
439	353.34118732231
440	354.13367925290703
441	354.308382097281
442	354.344592169151
443	354.946002048567
444	355.128202933675
445	355.20062276759904
446	355.320762383064
447	355.34774498857297
448	355.948557918568
449	356.324180954298
450	356.922556842914
451	356.942077362548
452	357.209668711341
453	357.198403569441
454	357.29820315624704
455	358.229150629208
456	359.225306311454
457	361.198584611677
458	361.25583466713096
459	361.890560932346
460	362.19336017130206
461	362.202034489547
462	363.176217752205
463	363.193672045516
464	363.213872973584
465	363.213979134497
466	363.25066578752296
467	363.30795235625504
468	364.200861746767
469	364.21692542408897
470	364.25409321546
471	365.139305486884
472	365.229279976408
473	365.22935902028
474	365.266209494384
475	365.341265060709
476	366.250000332463
477	366.344661238791
478	367.17999865941596
479	367.190391873426
480	367.200902096666
481	367.246681800782
482	367.347885782444
483	367.356909086554
484	368.183324463096
485	368.204214219088
486	368.265765061303
487	368.27932607037906
488	368.360362625797
489	369.177001321107
490	369.212299015534
491	369.252850905883
492	369.26249794990196
493	369.26189957552594
494	369.30040405666296
495	369.310548790495
496	369.363464512123
497	370.256361984596
498	370.303780227649
499	371.25078921733706
500	371.260053610617
501	371.260421686414
502	371.309123873598
503	373.275655224634
504	374.213959488865
505	375.21067361798896
506	376.213099588171
507	376.229451896277
508	377.1306833247701
509	377.20803772385904
510	377.226398003957
511	377.22974646511705
512	377.266347498363
513	378.210963848057
514	378.228819878927
515	378.23322646570296
516	378.269806547233
517	379.12863005757896
518	379.146373182167
519	379.155068410118
520	379.185170271751
521	379.20842026996104
522	379.22367051146597
523	379.25105926088503
524	379.235463419981
525	379.281911438228
526	380.15825759583197
527	380.20303320846904
528	380.226564404694
529	380.24101745821406
530	380.285377025217
531	381.144300780035
532	381.16168287937995
533	381.224535714664
534	381.28823780068495
535	381.372633208351
536	382.165082854597
537	382.228192896891
538	382.24427097434
539	382.376052861149
540	383.159763845787
541	383.17403794389196
542	383.217962002311
543	383.240249338748
544	383.332940765008
545	383.352098221724
546	384.355618646169
547	384.934396842585
548	384.93410131724295
549	385.18998402134497
550	385.23301815797004
551	385.331343464474
552	385.33203174826
553	385.937819354243
554	386.938826210052
555	388.93650363865504
556	389.162024613666
557	389.19101932927595
558	390.16537317934404
559	390.194436834701
560	391.03044469766405
561	391.15934687052396
562	391.177645958815
563	391.206984906534
564	391.33947937681296
565	392.162583828001
566	392.18096136436304
567	392.210424306464
568	392.316700797554
569	393.170810366978
570	393.20430802429803
571	393.240343362734
572	393.29759914451205
573	394.17392037327903
574	394.1991759217
575	394.21934344530297
576	394.256218727441
577	394.30093511264295
578	394.88653313389
579	394.889943979313
580	395.15150107867106
581	395.240000758732
582	395.25596321309195
583	395.388293188926
584	395.888877326635
585	396.154490075858
586	396.24389728386296
587	396.260056462727
588	396.27186729477006
589	396.391707871915
590	396.883768287817
591	397.22552426095
592	397.243353783071
593	397.255925616395
594	397.274997443325
595	397.284246274484
596	397.88619676583
597	398.287607103784
598	398.875595009952
599	398.95014173394
600	399.146712863434
601	399.19080731725
602	399.255198127787
603	399.281939150943
604	399.291615004677
605	399.328141308984
606	400.194740707935
607	400.220759389144
608	401.16262654833804
609	401.18891848112196
610	401.206473133204
611	401.217237666577
612	401.307373980905
613	402.192654406112
614	402.219733562643
615	402.210177501062
616	402.236430805298
617	402.915582643535
618	403.204355715317
619	403.232960588179
620	403.91691362416606
621	404.20659629639
622	404.235467671499
623	404.914423979849
624	405.217282978551
625	405.2300796404
626	405.267382741755
627	405.29763926668403
628	405.30013243359
629	406.270651386934
630	406.30356988457703
631	407.140919300842
632	407.18653740065
633	407.282216311427
634	407.26768912196997
635	407.315936003364
636	407.31328206186305
637	407.352591027361
638	408.240882115135
639	408.27218691688796
640	408.31676029683604
641	408.31935147912804
642	408.932454502745
643	409.13884525896697
644	409.238060228108
645	409.31024558100995
646	409.31930031672005
647	409.322842005972
648	409.331605606959
649	410.313689881803
650	411.19171803649397
651	411.206036841247
652	411.879808313699
653	412.25326464196297
654	413.191113460371
655	413.221380208118
656	413.250325611016
657	414.194468124441
658	414.268775692564
659	415.16116748893995
660	415.26580899251
661	416.18019061350503
662	416.93112218001295
663	417.1603777908
664	417.177592888935
665	417.209749567144
666	417.222872898195
667	418.177754893031
668	418.195643593545
669	418.22144375528
670	418.892664606307
671	419.176633299367
672	419.218331998712
673	419.227835064094
674	419.23834386114
675	419.352229588118
676	419.352266714237
677	419.352862971769
678	419.89412625879504
679	420.193172745997
680	420.219911027059
681	420.230248097014
682	420.241811827466
683	420.23689457009397
684	420.89103506110496
685	421.099495807583
686	421.14148225234
687	421.17261619135695
688	421.216460750982
689	421.233125574232
690	421.292968473769
691	421.328974712448
692	422.218924362025
693	422.23520484613
694	422.332346771613
695	422.86039093892305
696	423.096871742513
697	423.188630070744
698	423.222925271131
699	423.23122979518996
700	423.25882051945297
701	423.287439367471
702	423.310937805533
703	423.419666618863
704	424.302940280085
705	424.314322544211
706	424.858060055187
707	425.274705265213
708	425.306132307326
709	425.31569085951696
710	425.327041887222
711	426.33047073869204
712	426.92282148114
713	427.34029937704497
714	428.34213706196505
715	429.102018475055
716	429.338762887799
717	430.10553678441
718	430.34189310910205
719	431.100222956351
720	431.117672784984
721	431.127992534226
722	431.163480217513
723	431.17076204074897
724	431.20086136435697
725	431.238383450354
726	431.295989937539
727	431.315916534858
728	432.13059886248396
729	432.17415077816
730	432.203615473614
731	432.889199644217
732	432.90848690782997
733	433.097809995888
734	433.126033913889
735	433.143682877836
736	433.217025844025
737	433.32897349351305
738	433.33221806715403
739	433.891470593632
740	434.868407192012
741	434.888110212017
742	435.14180452098503
743	435.177701161214
744	435.231804456477
745	435.313675383184
746	435.34471298116205
747	435.383698337519
748	436.348178625218
749	437.20006022871803
750	437.224368834318
751	437.327054032982
752	437.351068171269
753	438.17155299177597
754	438.253192847134
755	438.31868843493993
756	438.330523531208
757	439.200421569213
758	439.22240537585196
759	439.24989017860497
760	440.187241025279
761	440.252556773771
762	440.26842620322503
763	441.15736272199996
764	441.25258866072403
765	441.25187418133794
766	441.26495986672006
767	441.32213416800397
768	441.33655131365896
769	441.35807586759
770	442.16588451194394
771	442.361456593356
772	443.16842610405604
773	443.292951425995
774	444.203336680642
775	444.218116138141
776	445.13378588126096
777	445.225082457805
778	445.21756448276903
779	445.238085813284
780	445.253962367159
781	445.351306382255
782	446.257393059615
783	446.37579516322603
784	447.220660063367
785	447.230433551512
786	447.269689082073
787	447.347352534504
788	447.379145150513
789	448.160467718051
790	448.222555408847
791	448.23985542010905
792	448.27316915962007
793	448.350705014578
794	448.884306355141
795	449.21152412681
796	449.23629906533597
797	449.32677013293295
798	449.360344406001
799	450.330147805966
800	451.16165326271795
801	451.15907185928495
802	451.204457232703
803	451.227318277207
804	451.318754007398
805	451.342572784625
806	451.379193359728
807	452.334332972804
808	452.346043990327
809	452.382585007575
810	452.410397428926
811	452.92217939978104
812	452.921906443564
813	453.177891860084
814	453.189280327062
815	453.22007585865504
816	453.30630586179495
817	453.337598194464
818	453.413671608751
819	453.925589345171
820	454.190417547884
821	454.926607559336
822	455.17245133948
823	455.185840457843
824	455.19453668336405
825	455.206257668023
826	456.18263047001506
827	457.178867114917
828	457.185364919226
829	457.331552702546
830	457.331640997661
831	457.370198484816
832	458.182266116791
833	458.33949683730003
834	459.194742092106
835	459.326400953821
836	460.198174695995
837	461.285350104701
838	461.36300209392
839	462.877745563594
840	463.139450090296
841	463.17704941103403
842	463.22633275757795
843	463.24341547159503
844	463.342977954841
845	463.342371181742
846	463.37600889594
847	464.14256687367896
848	464.17185162137804
849	464.25799692510003
850	465.242926800886
851	465.27214016563204
852	466.166606396894
853	466.18732246069
854	466.937964610707
855	467.169051043518
856	467.17802248465205
857	468.16972296393
858	468.182295319882
859	468.18114897931997
860	469.184732411061
861	469.17552448822096
862	469.193790814077
