,adduct,lm_id
146,M+H,LMFA01030335
146,M+H,LMFA01030454
146,M+H,LMFA01020207
146,M+H,LMFA01030110
146,M+H,LMFA01030111
146,M+H,LMFA01030112
146,M+H,LMFA01030113
146,M+H,LMFA01030114
146,M+H,LMFA01030115
146,M+H,LMFA01030116
146,M+H,LMFA01030575
146,M+H,LMFA01030574
146,M+H,LMFA01030117
146,M+H,LMFA01030573
146,M+H,LMFA01030572
146,M+H,LMFA01030571
146,M+H,LMFA07010628
146,M+H,LMFA01030570
146,M+H,LMFA01030569
146,M+H,LMFA01030568
146,M+H,LMFA01030567
146,M+H,LMFA01030566
146,M+H,LMFA01030565
146,M+H,LMFA01030564
146,M+H,LMFA01030563
146,M+H,LMFA01020208
146,M+H,LMFA01030455
146,M+H,LMFA01030334
146,M+H,LMFA01020377
146,M+H,LMFA01030332
146,M+H,LMFA01030304
146,M+H,LMFA01030318
146,M+H,LMFA01030305
146,M+H,LMFA01030317
146,M+H,LMFA01030316
146,M+H,LMFA01030306
146,M+H,LMFA01030315
146,M+H,LMFA07040064
146,M+H,LMFA01030118
146,M+H,LMFA01030314
146,M+H,LMFA01030307
146,M+H,LMFA01030308
146,M+H,LMFA01030313
146,M+H,LMFA01030312
146,M+H,LMFA01030333
146,M+H,LMFA01030311
146,M+H,LMFA01030310
146,M+H,LMFA01030303
146,M+H,LMFA01030302
146,M+H,LMFA01030319
146,M+H,LMFA01030320
146,M+H,LMFA01030331
146,M+H,LMFA01030330
146,M+H,LMFA01030329
146,M+H,LMFA01030328
146,M+H,LMFA01030297
146,M+H,LMFA01030298
146,M+H,LMFA01030309
146,M+H,LMFA01030327
146,M+H,LMFA01030299
146,M+H,LMFA01030301
146,M+H,LMFA01030326
146,M+H,LMFA01030325
146,M+H,LMFA01030324
146,M+H,LMFA01030323
146,M+H,LMFA01030322
146,M+H,LMFA01030321
146,M+H,LMFA01030300
147,M+H,
148,M+H,LMFA01140017
148,M+H,LMFA01030126
148,M+H,LMFA01030119
148,M+H,LMFA01030125
148,M+H,LMFA01030122
148,M+H,LMFA01030123
148,M+H,LMFA01140002
148,M+H,LMFA01030124
148,M+H,LMFA01030120
148,M+H,LMFA01030127
148,M+H,LMFA01030121
148,M+H,LMFA07010564
148,M+H,LMFA07010620
148,M+H,LMFA07010377
148,M+H,LMFA07010376
148,M+H,LMFA07010375
148,M+H,LMFA07010374
148,M+H,LMFA07010373
148,M+H,LMFA07010372
148,M+H,LMFA07010371
148,M+H,LMFA07010369
148,M+H,LMFA01030774
148,M+H,LMFA01030812
148,M+H,LMFA01030914
148,M+H,LMFA07010359
148,M+H,LMFA07010358
148,M+H,LMFA07010357
148,M+H,LMFA07010356
148,M+H,LMFA07010355
148,M+H,LMFA07010349
148,M+H,LMFA07010348
148,M+H,LMFA01020369
148,M+H,LMFA01030338
148,M+H,LMFA01030337
148,M+H,LMFA07040057
148,M+H,LMFA01030336
148,M+H,LMFA01030453
148,M+H,LMFA01030335
148,M+H,LMFA01030454
148,M+H,LMFA01020207
148,M+H,LMFA01030110
148,M+H,LMFA01030111
148,M+H,LMFA01030112
148,M+H,LMFA01030113
148,M+H,LMFA01030114
148,M+H,LMFA01030115
148,M+H,LMFA01030116
148,M+H,LMFA01030575
148,M+H,LMFA01030574
148,M+H,LMFA01030117
148,M+H,LMFA01030573
148,M+H,LMFA01030572
148,M+H,LMFA01030571
148,M+H,LMFA07010628
148,M+H,LMFA01030570
148,M+H,LMFA01030569
148,M+H,LMFA01030568
148,M+H,LMFA01030567
148,M+H,LMFA01030566
148,M+H,LMFA01030565
148,M+H,LMFA01030564
148,M+H,LMFA01030563
148,M+H,LMFA01020208
148,M+H,LMFA01030455
148,M+H,LMFA01030334
148,M+H,LMFA01020377
148,M+H,LMFA01030332
148,M+H,LMFA01030304
148,M+H,LMFA01030318
148,M+H,LMFA01030305
148,M+H,LMFA01030317
148,M+H,LMFA01030316
148,M+H,LMFA01030306
148,M+H,LMFA01030315
148,M+H,LMFA07040064
148,M+H,LMFA01030118
148,M+H,LMFA01030314
148,M+H,LMFA01030307
148,M+H,LMFA01030308
148,M+H,LMFA01030313
148,M+H,LMFA01030312
148,M+H,LMFA01030333
148,M+H,LMFA01030311
148,M+H,LMFA01030310
148,M+H,LMFA01030303
148,M+H,LMFA01030302
148,M+H,LMFA01030319
148,M+H,LMFA01030320
148,M+H,LMFA01030331
148,M+H,LMFA01030330
148,M+H,LMFA01030329
148,M+H,LMFA01030328
148,M+H,LMFA01030297
148,M+H,LMFA01030298
148,M+H,LMFA01030309
148,M+H,LMFA01030327
148,M+H,LMFA01030299
148,M+H,LMFA01030301
148,M+H,LMFA01030326
148,M+H,LMFA01030325
148,M+H,LMFA01030324
148,M+H,LMFA01030323
148,M+H,LMFA01030322
148,M+H,LMFA01030321
148,M+H,LMFA01030300
149,M+H,LMFA01140017
149,M+H,LMFA01030126
149,M+H,LMFA01030119
149,M+H,LMFA01030125
149,M+H,LMFA01030122
149,M+H,LMFA01030123
149,M+H,LMFA01140002
149,M+H,LMFA01030124
149,M+H,LMFA01030120
149,M+H,LMFA01030127
149,M+H,LMFA01030121
149,M+H,LMFA07010564
149,M+H,LMFA07010620
149,M+H,LMFA07010377
149,M+H,LMFA07010376
149,M+H,LMFA07010375
149,M+H,LMFA07010374
149,M+H,LMFA07010373
149,M+H,LMFA07010372
149,M+H,LMFA07010371
149,M+H,LMFA07010369
149,M+H,LMFA01030774
149,M+H,LMFA01030812
149,M+H,LMFA01030914
149,M+H,LMFA07010359
149,M+H,LMFA07010358
149,M+H,LMFA07010357
149,M+H,LMFA07010356
149,M+H,LMFA07010355
149,M+H,LMFA07010349
149,M+H,LMFA07010348
149,M+H,LMFA01020369
149,M+H,LMFA01030338
149,M+H,LMFA01030337
149,M+H,LMFA07040057
149,M+H,LMFA01030336
149,M+H,LMFA01030453
149,M+H,LMFA01030335
149,M+H,LMFA01030454
149,M+H,LMFA01020207
149,M+H,LMFA01030110
149,M+H,LMFA01030111
149,M+H,LMFA01030112
149,M+H,LMFA01030113
149,M+H,LMFA01030114
149,M+H,LMFA01030115
149,M+H,LMFA01030116
149,M+H,LMFA01030575
149,M+H,LMFA01030574
149,M+H,LMFA01030117
149,M+H,LMFA01030573
149,M+H,LMFA01030572
149,M+H,LMFA01030571
149,M+H,LMFA07010628
149,M+H,LMFA01030570
149,M+H,LMFA01030569
149,M+H,LMFA01030568
149,M+H,LMFA01030567
149,M+H,LMFA01030566
149,M+H,LMFA01030565
149,M+H,LMFA01030564
149,M+H,LMFA01030563
149,M+H,LMFA01020208
149,M+H,LMFA01030455
149,M+H,LMFA01030334
149,M+H,LMFA01020377
149,M+H,LMFA01030332
149,M+H,LMFA01030304
149,M+H,LMFA01030318
149,M+H,LMFA01030305
149,M+H,LMFA01030317
149,M+H,LMFA01030316
149,M+H,LMFA01030306
149,M+H,LMFA01030315
149,M+H,LMFA07040064
149,M+H,LMFA01030118
149,M+H,LMFA01030314
149,M+H,LMFA01030307
149,M+H,LMFA01030308
149,M+H,LMFA01030313
149,M+H,LMFA01030312
149,M+H,LMFA01030333
149,M+H,LMFA01030311
149,M+H,LMFA01030310
